KSA,RUS,-1.17534375,2.0284033161538106
EGY,RUS,-1.36825,1.9184899310216823
POR,RUS,0.30420454545454545,1.4890918325095606
ESP,RUS,0.42941666666666667,1.468193011528124
MAR,RUS,-1.10434375,1.621616831699878
IRN,RUS,-0.87934375,1.618893170980695
FRA,RUS,0.13741666666666666,1.2158775278002525
AUS,RUS,-0.8045833333333333,1.7314348898067342
PER,RUS,-0.9485833333333333,1.6505954630940807
DEN,RUS,-0.6610277777777778,1.2314946927966168
ARG,RUS,0.5558611111111111,1.4299150312358264
ISL,RUS,-0.63225,1.5942000920796038
CRO,RUS,-0.42925,1.4657519498122071
NGA,RUS,-0.93434375,1.5526407435947944
BRA,RUS,0.45175,1.4978486717925654
CRC,RUS,-0.84734375,1.6500351577009407
GER,RUS,0.28375,1.6609425971320975
MEX,RUS,-1.0190984848484848,2.438487223575648
KOR,RUS,-1.0123437499999999,1.8989934478965675
BEL,RUS,-0.2153409090909091,1.3760898425747548
PAN,RUS,-1.52434375,1.8284555387163202
ENG,RUS,0.36225,1.542102789427724
POL,RUS,-0.4436785714285714,1.1765241253118996
COL,RUS,-0.5889469696969697,1.4783285286467298
JPN,RUS,-1.0264375,1.9384470531783973
EGY,KSA,-0.43790625,1.879340947887996
ESP,KSA,0.9837604166666666,1.373780829118815
IRN,KSA,0.114,1.721918697267673
FRA,KSA,0.9327604166666666,1.4344559118248748
AUS,KSA,0.13476041666666666,1.6926970437256608
DEN,KSA,0.6243159722222222,1.7248891218501878
ARG,KSA,1.0652048611111111,1.6243366486425534
ISL,KSA,-0.26490625,1.9942959620311334
CRO,KSA,0.8380937500000001,1.580320800788256
BRA,KSA,1.10009375,1.3509923466147067
CRC,KSA,0.181,1.8050592788049924
GER,KSA,0.85709375,1.7435142000765098
KOR,KSA,0.254,1.6557427336394988
BEL,KSA,0.6810028409090909,1.6448066174320977
ENG,KSA,0.88459375,1.9156716830155307
COL,KSA,0.37039678030303025,1.8661316871182658
JPN,KSA,0.37290625,1.9635385395684395
AUS,EGY,1.2596666666666665,1.986599077579158
DEN,EGY,1.061222222222222,2.0764613344708445
ARG,EGY,1.7251111111111113,2.2042357174593756
CRO,EGY,1.2750000000000001,1.9702437351482944
BRA,EGY,1.924,2.017021045537679
CRC,EGY,0.37290625,1.769676223842333
BEL,EGY,1.5269090909090908,2.0203010366126666
COL,EGY,0.7393030303030302,1.969179063107212
RUS,URU,0.2945357142857143,1.5198713072572883
KSA,URU,-0.9188080357142857,2.2101176990057563
EGY,URU,-0.6357142857142857,1.8868494387142627
POR,URU,0.4867402597402597,1.6441856757235989
ESP,URU,0.9959523809523809,1.410726898275306
MAR,URU,-0.8018080357142857,1.9589455904283368
IRN,URU,-0.24180803571428572,1.987077795629329
FRA,URU,0.4259523809523809,1.2775840935487235
AUS,URU,-0.377047619047619,1.857986031950688
PER,URU,-0.577047619047619,1.4459764485526354
DEN,URU,0.2065079365079365,1.7247829435191977
ARG,URU,0.5833968253968254,1.7581614638320717
ISL,URU,-0.44371428571428567,1.7358974762809614
CRO,URU,0.6962857142857143,1.4678338460761473
NGA,URU,-0.5728080357142857,1.8444432800747264
BRA,URU,0.9002857142857144,1.496095529764863
SUI,URU,0.48943722943722945,1.4490970540224972
CRC,URU,-0.5548080357142857,1.7201825464521823
SRB,URU,-0.2228080357142857,1.68123574656333
GER,URU,1.2622857142857145,1.5661466016399908
SWE,URU,0.37228571428571433,1.7089491819731069
MEX,URU,-0.7245627705627705,2.653457423826195
KOR,URU,-0.26280803571428574,1.8517096838731888
BEL,URU,0.7191948051948053,1.8345416843719278
PAN,URU,-1.0418080357142858,1.7990114529300751
TUN,URU,-0.9078080357142857,1.9325300207311926
ENG,URU,1.3827857142857143,1.8065893155431532
POL,URU,0.04485714285714286,1.6802503987403115
SEN,URU,-0.7278080357142857,1.7451511647177331
COL,URU,-0.3634112554112554,1.5320658988905573
JPN,URU,-0.2759017857142857,1.9128444625108654
KSA,POR,-1.7915482954545454,2.2126699725931607
EGY,POR,-1.6914545454545453,1.9942409982169675
ESP,POR,0.1042121212121212,1.7131027372568388
MAR,POR,-1.4085482954545454,1.8100215790033427
IRN,POR,-1.2945482954545453,1.769802305616379
FRA,POR,-0.5567878787878788,0.829743187937578
AUS,POR,-1.517787878787879,1.9660959083678755
PER,POR,-1.0167878787878788,1.6563569527825683
DEN,POR,-0.5752323232323233,1.3270624593984917
ARG,POR,0.31965656565656564,1.576745334001371
ISL,POR,-0.6754545454545454,1.7523933227937571
CRO,POR,-0.46345454545454545,1.4430743634734056
NGA,POR,-1.5425482954545453,1.4763446520223178
BRA,POR,0.19954545454545453,1.5530025533337044
CRC,POR,-1.2635482954545454,1.6193899935857188
GER,POR,0.11254545454545453,1.95311580856112
MEX,POR,-1.6523030303030304,2.5143218929420437
KOR,POR,-1.5175482954545454,2.008189248720318
BEL,POR,-0.26754545454545453,1.4129798891361907
PAN,POR,-1.6515482954545455,1.8584253885737363
ENG,POR,0.15804545454545454,1.8879792172107934
POL,POR,-0.2958831168831169,1.1087984544326792
COL,POR,-0.5641515151515152,1.4530443164731355
JPN,POR,-1.6286420454545454,2.1093835715328257
EGY,ESP,-1.7006666666666668,1.762203834435479
AUS,ESP,-1.132,1.5172644394966468
DEN,ESP,-0.9514444444444445,1.3080537483255157
ARG,ESP,0.2744444444444445,1.5164177266601442
CRO,ESP,-0.6186666666666667,1.538847067890932
BRA,ESP,0.19533333333333336,1.8364208175932901
CRC,ESP,-1.1327604166666667,1.488027274104015
