1,ESP
2,BEL
3,BEL
4,ENG
5,GER
6,ARG
7,ENG
8,ESP
9,POR
10,BEL
11,ARG
12,RUS
13,BEL
14,BRA
15,BRA
16,BRA
17,KSA
18,GER
19,ESP
20,ENG
21,FRA
22,BRA
23,FRA
24,BRA
25,ESP
26,FRA
27,BRA
28,ARG
29,BEL
30,FRA
31,BRA
32,FRA
33,SUI
34,BRA
35,POL
36,BRA
37,GER
38,ARG
39,GER
40,BRA
41,EGY
42,RUS
43,IRN
44,ESP
45,BRA
46,COL
47,ARG
48,ESP
49,ARG
50,RUS
51,ARG
52,GER
53,CRO
54,ARG
55,POR
56,ENG
57,ARG
58,POL
59,FRA
60,ARG
61,ENG
62,BRA
63,NGA
64,ARG
65,GER
66,RUS
67,BRA
68,COL
69,FRA
70,RUS
71,ARG
72,BRA
73,ESP
74,SUI
75,BRA
76,CRO
77,FRA
78,ARG
79,GER
80,FRA
81,POR
82,RUS
83,DEN
84,BRA
85,FRA
86,BEL
87,RUS
88,POR
89,CRO
90,POR
91,BRA
92,ESP
93,ARG
94,ESP
95,BRA
96,ARG
97,GER
98,JPN
99,ENG
100,FRA
101,GER
102,CRO
103,ENG
104,ARG
105,FRA
106,BEL
107,RUS
108,FRA
109,POR
110,ARG
111,CRO
112,URU
113,POR
114,POR
115,POL
116,ESP
117,GER
118,FRA
119,POR
120,ARG
121,ESP
122,NGA
123,ARG
124,SWE
125,BRA
126,ESP
127,SUI
128,COL
129,ENG
130,GER
131,ENG
132,ESP
133,BRA
134,POR
135,NGA
136,ARG
137,CRO
138,ARG
139,ESP
140,ENG
141,GER
142,BEL
143,POR
144,BRA
145,ARG
146,GER
147,GER
148,ENG
149,FRA
150,CRO
151,BRA
152,ARG
153,POR
154,SUI
155,POR
156,BRA
157,ARG
158,SUI
159,ESP
160,RUS
161,FRA
162,ESP
163,ESP
164,ENG
165,BRA
166,ESP
167,BRA
168,POR
169,BRA
170,GER
171,ARG
172,RUS
173,BRA
174,FRA
175,ENG
176,BRA
177,ARG
178,ARG
179,CRO
180,GER
181,FRA
182,ESP
183,COL
184,BRA
185,ESP
186,KOR
187,BRA
188,ESP
189,RUS
190,POR
191,BRA
192,AUS
193,ESP
194,SUI
195,POR
196,ENG
197,POR
198,BEL
199,BRA
200,ESP
201,ARG
202,CRO
203,ESP
204,BRA
205,BRA
206,FRA
207,CRO
208,CRO
209,CRO
210,BRA
211,GER
212,ENG
213,POL
214,BRA
215,CRO
216,ESP
217,FRA
218,ENG
219,ESP
220,RUS
221,ESP
222,BRA
223,MEX
224,BRA
225,ENG
226,CRO
227,ESP
228,JPN
229,ARG
230,RUS
231,ESP
232,POR
233,GER
234,ARG
235,POR
236,SUI
237,BRA
238,ESP
239,ESP
240,POL
241,POR
242,FRA
243,GER
244,POR
245,POR
246,ESP
247,GER
248,CRO
249,ARG
250,ENG
251,ENG
252,ENG
253,BRA
254,POR
255,POR
256,ENG
257,BRA
258,ENG
259,ARG
260,POR
261,CRO
262,BRA
263,ESP
264,BEL
265,POL
266,GER
267,POR
268,GER
269,BRA
270,RUS
271,BEL
272,POR
273,RUS
274,BEL
275,ENG
276,BEL
277,CRO
278,ESP
279,ESP
280,POR
281,CRO
282,COL
283,ARG
284,CRO
285,GER
286,GER
287,POR
288,BRA
289,URU
290,RUS
291,ARG
292,ENG
293,FRA
294,MEX
295,ESP
296,ENG
297,ESP
298,ARG
299,ESP
300,SUI
301,POR
302,BEL
303,POR
304,FRA
305,FRA
306,FRA
307,BRA
308,POR
309,POR
310,ARG
311,ARG
312,POR
313,POR
314,GER
315,ARG
316,ENG
317,RUS
318,ARG
319,JPN
320,ARG
321,RUS
322,BRA
323,DEN
324,CRO
325,FRA
326,BRA
327,ESP
328,ENG
329,POR
330,ESP
331,SUI
332,GER
333,COL
334,POR
335,ESP
336,ENG
337,FRA
338,NGA
339,KSA
340,BRA
341,ENG
342,SUI
343,ESP
344,SEN
345,GER
346,ESP
347,ARG
348,URU
349,FRA
350,RUS
351,GER
352,POR
353,BEL
354,BRA
355,POR
356,ENG
357,FRA
358,FRA
359,FRA
360,GER
361,BRA
362,JPN
363,TUN
364,ESP
365,ENG
366,BRA
367,GER
368,ARG
369,POR
370,ENG
371,FRA
372,BEL
373,BEL
374,ARG
375,BEL
376,FRA
377,POR
378,ENG
379,ARG
380,ARG
381,GER
382,CRO
383,GER
384,GER
385,FRA
386,POR
387,FRA
388,CRO
389,URU
390,GER
391,ARG
392,ENG
393,FRA
394,ENG
395,ENG
396,ENG
397,BRA
398,ARG
399,COL
400,POR
401,SWE
402,BEL
403,FRA
404,COL
405,ENG
406,CRO
407,BEL
408,POR
409,JPN
410,ENG
411,GER
412,SUI
413,FRA
414,COL
415,ESP
416,ESP
417,BEL
418,FRA
419,BRA
420,FRA
421,ENG
422,GER
423,SUI
424,SUI
425,SUI
426,RUS
427,FRA
428,GER
429,GER
430,RUS
431,ESP
432,ARG
433,ENG
434,GER
435,BRA
436,RUS
437,ARG
438,ARG
439,ARG
440,SUI
441,ARG
442,BRA
443,ARG
444,POR
445,ARG
446,BRA
447,BRA
448,ENG
449,BRA
450,BRA
451,POR
452,TUN
453,FRA
454,POR
455,GER
456,ARG
457,RUS
458,AUS
459,RUS
460,SRB
461,BEL
462,ARG
463,FRA
464,FRA
465,ARG
466,COL
467,ENG
468,SUI
469,SUI
470,CRO
471,ARG
472,CRO
473,GER
474,ENG
475,RUS
476,COL
477,BRA
478,SRB
479,JPN
480,RUS
481,POR
482,FRA
483,ENG
484,BRA
485,ESP
